dispersionless ion injection time,LANL-01A,LANL-02A,LANL-04A,LANL-97A,1994-084,1991-080
2016-05-27/19:05:00,N,Y,Y,Y,Y,Y
2016-05-27/22:47:00,N,N,N,Y,Y,N
2016-05-28/03:46:00,Y,N,N,Y,Y,Y
2016-05-28/04:27:00,Y,N,N,Y,Y,N
2016-05-28/07:48:00,Y,Y,Y,Y,Y,Y
2016-05-28/22:10:00,N,N,Y,Y,Y,Y
2016-05-29/20:32:00,N,N,Y,Y,N,N
2016-05-30/02:36:00,Y,Y,Y,Y,Y,Y
2016-05-30/07:06:00,Y,Y,N,Y,Y,N
2016-05-31/18:47:00,N,N,Y,Y,Y,N
2016-05-31/22:02:00,Y,Y,Y,Y,Y,N
2016-06-05/12:59:00,Y,Y,Y,Y,Y,Y
2016-06-05/23:51:00,Y,Y,Y,Y,Y,Y
2016-06-06/04:12:00,Y,Y,Y,Y,Y,Y
2016-06-06/05:04:00,Y,Y,Y,Y,Y,Y
2016-06-06/10:55:00,Y,Y,Y,N,N,N
2016-06-06/11:36:00,Y,Y,Y,Y,Y,Y
2016-06-06/18:13:00,Y,Y,Y,Y,Y,Y
2016-06-07/21:45:00,N,Y,Y,Y,Y,Y
2016-06-07/23:13:00,N,N,Y,Y,Y,Y
2016-06-08/03:22:00,N,N,N,Y,Y,N
2016-06-08/10:43:00,Y,Y,N,N,N,N
2016-06-09/01:29:00,Y,N,N,Y,Y,Y
2016-06-11/21:45:00,N,N,Y,Y,Y,Y
2016-06-12/18:30:00,N,Y,Y,Y,Y,Y
2016-06-13/03:13:00,Y,N,Y,Y,Y,Y
2016-06-13/10:53:00,Y,Y,N,N,N,N
2016-06-14/19:37:00,Y,Y,Y,Y,Y,Y
2016-06-14/22:19:00,Y,Y,Y,Y,Y,Y
2016-06-15/01:13:00,Y,Y,Y,Y,Y,Y
2016-06-15/04:26:00,Y,N,N,Y,Y,Y
2016-06-15/12:37:00,Y,Y,N,N,N,N
2016-06-17/18:52:00,N,Y,Y,Y,Y,Y
2016-06-22/19:57:00,N,N,Y,Y,Y,N
2016-06-22/20:43:00,N,N,Y,Y,Y,N
2016-06-23/03:56:00,Y,Y,Y,Y,Y,Y
2016-06-23/23:24:00,N,N,Y,Y,Y,Y
2016-06-24/04:08:00,Y,Y,Y,Y,Y,Y
2016-06-24/06:10:00,Y,N,N,N,Y,Y
2016-06-24/10:34:00,Y,Y,Y,Y,Y,Y
2016-06-24/23:27:00,N,N,N,Y,Y,Y
2016-06-25/19:35:00,N,N,Y,Y,Y,Y
2016-06-25/22:42:00,N,N,Y,Y,Y,Y
2016-06-26/15:10:00,N,Y,Y,Y,Y,N
2016-06-26/19:12:00,N,N,Y,Y,Y,Y
2016-06-26/19:53:00,N,N,Y,Y,Y,N
2016-06-26/23:37:00,Y,Y,Y,Y,Y,Y
2016-06-27/04:00:00,Y,N,Y,Y,Y,Y
2016-06-27/04:55:00,Y,N,Y,Y,Y,Y
2016-06-28/01:59:00,N,N,N,Y,Y,Y
2016-06-28/05:00:00,Y,Y,N,N,N,Y
2016-07-01/08:31:00,Y,Y,N,N,N,N
2016-07-03/22:58:00,Y,Y,Y,Y,Y,Y
2016-07-04/20:32:00,N,N,Y,Y,Y,Y
2016-07-07/16:46:00,N,Y,Y,Y,Y,N
2016-07-07/17:16:00,Y,Y,Y,Y,Y,Y
2016-07-08/09:15:00,Y,Y,Y,Y,Y,Y
2016-07-08/11:58:00,Y,Y,Y,Y,Y,Y
2016-07-08/19:31:00,N,Y,Y,Y,Y,Y
2016-07-09/01:32:00,Y,Y,Y,Y,Y,Y
2016-07-09/04:34:00,N,N,N,N,Y,Y
2016-07-09/07:21:00,Y,Y,Y,Y,Y,Y
2016-07-09/13:34:00,Y,Y,Y,Y,Y,Y
2016-07-11/13:08:00,Y,Y,N,N,N,N
2016-07-11/17:29:00,N,Y,Y,N,Y,Y
2016-07-20/03:53:00,Y,Y,N,N,Y,Y
2016-07-20/07:55:00,Y,Y,Y,Y,Y,Y
2016-07-23/05:25:00,Y,N,N,Y,Y,Y
2016-07-23/07:20:00,Y,Y,Y,Y,Y,Y
2016-07-24/17:36:00,Y,Y,Y,Y,Y,Y
2016-07-24/18:50:00,N,N,N,N,Y,Y
2016-07-24/22:22:00,N,Y,Y,Y,Y,N
2016-07-25/00:40:00,N,N,Y,Y,Y,Y
2016-07-25/02:40:00,Y,N,Y,Y,Y,Y
2016-07-25/03:31:00,Y,Y,Y,Y,Y,Y
2016-07-25/05:56:00,Y,Y,Y,Y,Y,Y
2016-07-25/08:57:00,Y,Y,Y,Y,Y,Y
2016-07-25/12:46:00,N,Y,Y,Y,N,N
2016-07-25/14:32:00,Y,Y,Y,Y,Y,Y
2016-07-25/17:33:00,N,N,Y,Y,Y,Y
2016-07-28/04:24:00,Y,N,Y,Y,Y,Y
2016-07-28/11:46:00,Y,Y,Y,Y,Y,Y
2016-07-28/17:18:00,N,N,Y,Y,Y,Y
2016-07-29/00:50:00,N,N,N,Y,Y,Y
2016-07-29/05:13:00,Y,Y,Y,Y,Y,Y
2016-07-29/17:41:00,Y,Y,Y,Y,Y,Y
2016-07-30/04:08:00,N,N,N,N,Y,Y
